                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 0.8429,                0.48239,                  1.021,                0.89933,                0.87036,                0.92214,                0.59028,                 1.1921,                0.58257,                 1.2764,              0.0011499,              0.0011499,              0.0011499
                     96,                0.85141,                0.47495,                  1.034,                0.88811,                0.87465,                0.91635,                0.60095,                 1.1159,                0.56276,                 1.2253,              0.0011444,              0.0011444,              0.0011444
                     97,                0.90567,                0.48641,                 1.0657,                 0.9032,                 0.8486,                0.91007,                0.57678,                 1.1937,                0.59584,                 1.2697,              0.0011389,              0.0011389,              0.0011389
                     98,                0.87369,                0.48034,                  1.034,                 0.9009,                0.86599,                0.91923,                 0.6032,                  1.102,                0.54857,                  1.197,              0.0011334,              0.0011334,              0.0011334
                     99,                0.84041,                0.46497,                 1.0076,                 0.9111,                0.85768,                0.91664,                0.60447,                 1.1045,                0.57179,                 1.2141,              0.0011279,              0.0011279,              0.0011279
                    100,                 0.8629,                 0.4806,                 1.0301,                0.90812,                0.87279,                0.90943,                0.59945,                 1.0839,                0.56583,                 1.1745,              0.0011224,              0.0011224,              0.0011224
                    101,                0.84653,                 0.4573,                  1.009,                0.88959,                0.85843,                0.90379,                0.58574,                 1.2034,                0.60973,                 1.2436,              0.0011169,              0.0011169,              0.0011169
                    102,                0.82698,                 0.4585,                 1.0023,                0.89827,                0.87515,                0.91841,                0.59893,                 1.1255,                0.57928,                 1.1918,              0.0011114,              0.0011114,              0.0011114
                    103,                0.81456,                0.45485,                 1.0093,                0.90518,                0.87521,                0.92073,                 0.5979,                 1.0865,                0.54127,                 1.1764,              0.0011059,              0.0011059,              0.0011059
                    104,                0.80849,                0.44711,                 1.0092,                 0.8999,                0.89239,                0.93322,                 0.6334,                 1.0613,                0.52845,                 1.1762,              0.0011004,              0.0011004,              0.0011004
                    105,                0.82011,                0.46474,                 1.0115,                0.92216,                0.89921,                0.93902,                0.63162,                 1.0678,                0.51461,                 1.1745,              0.0010949,              0.0010949,              0.0010949
                    106,                0.76923,                0.43977,                0.98656,                0.94015,                0.88766,                0.93794,                0.61399,                 1.0888,                0.52518,                 1.2032,              0.0010894,              0.0010894,              0.0010894
                    107,                0.80459,                0.44351,                0.99315,                0.92523,                0.86293,                0.92611,                0.60378,                 1.1214,                0.56391,                 1.2222,              0.0010839,              0.0010839,              0.0010839
                    108,                0.79001,                0.43751,                0.99285,                0.94718,                0.86298,                0.93104,                0.62088,                 1.0381,                0.53496,                 1.1602,              0.0010784,              0.0010784,              0.0010784
                    109,                0.79125,                0.43941,                0.99313,                0.94247,                0.87866,                0.93722,                0.63597,                 1.0383,                0.50829,                 1.1583,              0.0010729,              0.0010729,              0.0010729
                    110,                0.76893,                0.42181,                0.99923,                0.94843,                0.86958,                0.93714,                0.62362,                 1.0508,                0.52832,                 1.1572,              0.0010674,              0.0010674,              0.0010674
                    111,                0.78535,                0.43087,                0.98244,                0.92606,                0.89108,                0.93377,                0.62101,                 1.0807,                0.56266,                 1.1743,              0.0010619,              0.0010619,              0.0010619
                    112,                0.78013,                0.44043,                0.98155,                0.94699,                0.88944,                0.93536,                0.62797,                 1.0222,                0.52679,                  1.142,              0.0010564,              0.0010564,              0.0010564
                    113,                0.76756,                0.43059,                0.99126,                0.95914,                0.87844,                0.93245,                0.62938,                 1.0192,                   0.53,                 1.1506,              0.0010509,              0.0010509,              0.0010509
                    114,                0.77218,                0.43312,                0.97238,                0.95838,                0.88752,                0.94167,                0.63043,                 1.0077,                0.50204,                 1.1523,              0.0010454,              0.0010454,              0.0010454
                    115,                  0.784,                0.43755,                 0.9979,                0.94307,                0.90304,                0.93906,                0.63107,                 1.0083,                0.49614,                 1.1457,              0.0010399,              0.0010399,              0.0010399
                    116,                0.80631,                0.43913,                0.99444,                0.94458,                0.86241,                0.92696,                 0.6003,                 1.0711,                0.55002,                 1.1831,              0.0010344,              0.0010344,              0.0010344
                    117,                0.73142,                0.41611,                0.96819,                0.92403,                0.87017,                0.92745,                0.60755,                 1.0647,                0.53817,                 1.1712,              0.0010289,              0.0010289,              0.0010289
                    118,                0.75487,                0.42546,                0.96503,                0.94478,                 0.8991,                 0.9475,                0.62578,                 1.0457,                0.49928,                 1.1819,              0.0010234,              0.0010234,              0.0010234
                    119,                0.73557,                0.40603,                 0.9881,                0.93974,                0.90016,                0.94779,                0.64118,                  1.024,                0.48356,                  1.145,              0.0010179,              0.0010179,              0.0010179
                    120,                0.75444,                0.41746,                0.96958,                 0.9469,                0.90351,                 0.9454,                0.62114,                 1.0716,                0.50229,                 1.1725,              0.0010124,              0.0010124,              0.0010124
                    121,                0.73008,                0.41467,                0.96156,                0.94502,                0.89771,                0.94429,                0.63364,                 1.0226,                0.48918,                 1.1352,              0.0010069,              0.0010069,              0.0010069
                    122,                0.78129,                0.43583,                0.98324,                0.92823,                0.90552,                0.94578,                0.63003,                 1.0982,                0.50969,                 1.1837,              0.0010014,              0.0010014,              0.0010014
                    123,                0.72223,                0.41067,                0.96127,                0.93777,                0.88482,                0.94229,                0.62987,                 1.0432,                0.50847,                 1.1678,             0.00099587,             0.00099587,             0.00099587
                    124,                0.75951,                0.42341,                 0.9654,                0.91689,                0.89706,                0.93904,                0.63251,                0.99766,                0.48723,                  1.133,             0.00099036,             0.00099036,             0.00099036
                    125,                0.73895,                0.41984,                0.96779,                0.96352,                0.88202,                0.94204,                0.64136,                0.98984,                0.47461,                 1.1258,             0.00098486,             0.00098486,             0.00098486
                    126,                0.71777,                0.41786,                0.96166,                 0.9515,                0.88744,                0.94497,                0.64383,                 1.0052,                 0.4744,                 1.1392,             0.00097936,             0.00097936,             0.00097936
                    127,                0.71919,                0.40999,                 0.9782,                0.94047,                0.89112,                0.94877,                0.64594,                  1.002,                0.46381,                 1.1359,             0.00097386,             0.00097386,             0.00097386
                    128,                0.72772,                 0.4078,                0.96254,                0.94556,                0.87918,                0.93156,                0.63392,                 1.0489,                0.47969,                 1.1661,             0.00096836,             0.00096836,             0.00096836
                    129,                0.71683,                0.41196,                0.96312,                0.92555,                0.88511,                0.92787,                0.64156,                 1.0218,                0.49139,                 1.1351,             0.00096286,             0.00096286,             0.00096286
                    130,                0.72536,                0.42209,                0.95976,                0.92947,                0.87691,                0.93036,                0.64845,                 1.0092,                0.50904,                 1.1254,             0.00095736,             0.00095736,             0.00095736
                    131,                0.69326,                0.39293,                0.95173,                0.93871,                 0.8853,                0.93625,                0.64983,                0.98764,                0.48954,                 1.1131,             0.00095186,             0.00095186,             0.00095186
                    132,                0.69417,                0.39656,                0.96146,                0.95828,                0.86903,                0.93726,                0.64334,                 1.0152,                0.50952,                  1.129,             0.00094636,             0.00094636,             0.00094636
                    133,                0.71948,                0.40899,                0.96286,                0.93651,                0.88624,                0.94164,                0.63957,                 1.0349,                0.50354,                 1.1492,             0.00094085,             0.00094085,             0.00094085
                    134,                0.72107,                0.40518,                0.95557,                0.94187,                0.89013,                0.94621,                  0.649,                 1.0099,                0.48222,                 1.1464,             0.00093535,             0.00093535,             0.00093535
                    135,                0.68102,                0.38724,                0.95611,                0.95255,                0.88249,                0.94688,                 0.6576,                0.96835,                0.47718,                 1.1186,             0.00092985,             0.00092985,             0.00092985
                    136,                0.69461,                0.39788,                0.94821,                0.94576,                0.89555,                0.95098,                0.65494,                 1.0096,                0.48824,                 1.1393,             0.00092435,             0.00092435,             0.00092435
                    137,                0.69952,                0.39671,                0.96748,                0.90665,                0.91276,                0.94458,                0.64724,                  1.029,                 0.5203,                 1.1538,             0.00091885,             0.00091885,             0.00091885
                    138,                0.72686,                0.41326,                0.97614,                0.94185,                0.89352,                0.94496,                0.64565,                 1.0229,                0.52917,                 1.1509,             0.00091335,             0.00091335,             0.00091335
